masterid	Province	Uezd	ProvinceNumber	UezdNumber	HouseholdSerfs_1859	BarshchinaSerfs_1859	ObrokSerfs_1859
461	"Vitebsk"	"Surazhskii"	55	10	495	11399	0
462	"Vladimir"	"Vladimirskii"	56	13	1040	10222	9527
463	"Vladimir"	"Aleksandrovskii"	56	1	1351	5528	10865
464	"Vladimir"	"Vianikovskii"	56	12	612	291	21337
465	"Vladimir"	"Gorokhovskii"	56	2	483	2076	30610
466	"Vladimir"	"Kovrovskii"	56	4	893	4850	20492
467	"Vladimir"	"Melenkovskii"	56	5	5055	17452	8539
468	"Vladimir"	"Muromskii"	56	6	497	6479	23357
469	"Vladimir"	"Pereslavskii"	56	7	1177	9404	7500
470	"Vladimir"	"Pokrovskii"	56	8	1172	5879	22331
471	"Vladimir"	"Sudogodskii"	56	10	1074	6279	12914
472	"Vladimir"	"Suzdal'skii"	56	11	1000	6928	9853
473	"Vladimir"	"Shuiskii"	56	9	833	2381	34654
474	"Vladimir"	"Iur'evskii"	56	3	1545	17152	8056
475	"Vologoda"	"Vologodskii"	57	11	1667	8518	25410
476	"Vologoda"	"Vel'skii"	57	10			
477	"Vologoda"	"Griazovetskii"	57	2	1043	5088	8993
478	"Vologoda"	"Kadnikovskii"	57	4	832	1910	46907
479	"Vologoda"	"Nikol'skii"	57	5	41	91	1268
480	"Vologoda"	"Sol'vychegodskii"	57	6			
481	"Vologoda"	"Totemskii"	57	7	53	231	846
482	"Vologoda"	"Ust'sysol'skii"	57	9	6		
483	"Vologoda"	"Ustiugskii"	57	8	30	9	1
484	"Vologoda"	"Iarenskii"	57	3			
485	"Volyna"	"Zhitomirskii"	58	12	904	49756	0
486	"Volyna"	"Vladimirskii"	58	10	614	30456	0
487	"Volyna"	"Dubenskii"	58	1	479	26737	0
488	"Volyna"	"Zaslavskii"	58	11	188	40677	0
489	"Volyna"	"Kovel'skii"	58	2	481	22874	0
490	"Volyna"	"Kremenetskii"	58	3	259	39296	0
491	"Volyna"	"Lutskii"	58	4	579	26540	0
492	"Volyna"	"Novogradvolynskii"	58	5	630	48114	0
493	"Volyna"	"Ovruchskii"	58	7	1504	20109	0
494	"Volyna"	"Ostrozhskii"	58	6	321	30379	0
495	"Volyna"	"Rovenskii"	58	8	504	34715	0
496	"Volyna"	"Starokonstantinovskii"	58	9	435	41344	0
497	"Voronezh"	"Voronezhskii"	59	10	4636	13253	832
498	"Voronezh"	"Biriuchenskii"	59	1	2919	8815	43725
499	"Voronezh"	"Bobrovskii"	59	2	1473	16178	10789
500	"Voronezh"	"Bogucharskii"	59	3	2068	7236	3380
501	"Voronezh"	"Valuiskii"	59	9	2495	10507	3157
502	"Voronezh"	"Zadonskii"	59	11	2295	11436	4022
503	"Voronezh"	"Zemlianskii"	59	12	5173	16613	507
504	"Voronezh"	"Korotoiakskii"	59	4	1358	2751	191
505	"Voronezh"	"Nizhnedevitskii"	59	5	3234	3943	1432
506	"Voronezh"	"Novokhoperskii"	59	6	1950	6818	5610
507	"Voronezh"	"Ostrogozhskii"	59	7	3896	19742	12146
508	"Voronezh"	"Pavlovskii"	59	8	537	6232	15023
509	"Zemlia voiska donskogo"	"Cherkasskii"	60	1	456	2879	33
510	"Zemlia voiska donskogo"	"Donetskii"	60	2	3053	27377	0
511	"Zemlia voiska donskogo"	"Pervyi Donskoi"	60	5	532	4895	0
512	"Zemlia voiska donskogo"	"Vtoroi Donskoi"	60	10	1280	5189	777
513	"Zemlia voiska donskogo"	"Rostovskii"	60	6			
514	"Zemlia voiska donskogo"	"Sal'skii"	60	7			
515	"Zemlia voiska donskogo"	"Taganrogskii"	60	8			
516	"Zemlia voiska donskogo"	"Ust'-Medveditskii"	60	9	1664	8854	1339
517	"Zemlia voiska donskogo"	"Khoperskii"	60	3	2717	5595	275
